"","DSHourly","DSSalary","StateName","StateAbbr","DSJobCount","RPP2017","EST.MEDIAN.HOUSEHOLD.INCOME.Dollar","MHINewRank"
"1",62.25,129478,"New York","NY",12,115.8,64894,14
"2",61.75,128450,"Massachusetts","MA",8,107.9,77385,4
"3",60.54,125932,"New Hampshire","NH",NA,105.8,73381,6
"4",57.63,119868,"Maryland","MD",2,109.4,80776,1
"5",57.03,118625,"Vermont","VT",NA,102.5,57513,27
"6",57,118565,"Hawaii","HI",NA,118.5,77765,3
"7",56.89,118327,"Alaska","AK",NA,104.4,73181,7
"8",56.89,118327,"Montana","MT",NA,94.6,53386,37
"9",56.89,118327,"North Dakota","ND",NA,90.1,61843,18
"10",56.89,118327,"Wyoming","WY",NA,95.2,60434,19
"11",56.89,118327,"Nevada","NV",NA,97.6,58003,26
"12",56.89,118327,"Idaho","ID",NA,93,52225,40
"13",56.81,118175,"Nebraska","NE",NA,89.6,59970,21
"14",56.78,118099,"California","CA",38,114.8,71805,8
"15",56.69,117909,"Connecticut","CT",NA,108,74168,5
"16",56.56,117644,"Washington","WA",3,106.4,70979,10
"17",55.67,115784,"Virginia","VA",2,102.1,71535,9
"18",55.15,114703,"West Virginia","WV",NA,87,43469,50
"19",54.95,114291,"Rhode Island","RI",NA,98.6,63870,15
"20",54.02,112354,"New Jersey","NJ",2,112.9,80088,2
"21",53.99,112293,"Colorado","CO",2,103.2,69117,11
"22",53.93,112167,"South Dakota","SD",NA,88.2,56521,29
"23",53.88,112076,"Pennsylvania","PA",5,97.9,59195,24
"24",53.71,111713,"Delaware","DE",NA,100.1,62852,17
"25",53.69,111685,"South Carolina","SC",NA,90.4,50570,42
"26",53.69,111672,"Arizona","AZ",1,96.4,56581,28
"27",53.68,111661,"Minnesota","MN",1,97.5,68388,12
"28",53.65,111586,"Oregon","OR",2,99.5,60212,20
"29",53.54,111356,"Tennessee","TN",1,90.4,51340,41
"30",53.27,110794,"Utah","UT",NA,97,68358,13
"31",52.87,109975,"Ohio","OH",NA,88.9,54021,35
"32",52.81,109848,"Indiana","IN",NA,89.8,54181,34
"33",52.72,109652,"Kentucky","KY",NA,87.9,48375,44
"34",52.61,109432,"Iowa","IA",NA,89.8,58570,25
"35",52.56,109317,"Oklahoma","OK",NA,89,50051,43
"36",52.35,108894,"Louisiana","LA",NA,90.1,46145,47
"37",51.88,107914,"Wisconsin","WI",NA,92.4,59305,22
"38",51.54,107212,"Kansas","KS",1,90,56422,30
"39",51.4,106906,"Maine","ME",NA,98.4,56277,31
"40",51.25,106591,"Arkansas","AR",NA,86.5,45869,48
"41",51.14,106380,"Texas","TX",5,97,59206,23
"42",50.88,105827,"Georgia","GA",3,92.5,56183,32
"43",50.76,105580,"Alabama","AL",NA,86.7,48123,45
"44",50.34,104712,"New Mexico","NM",NA,93.3,46744,46
"45",50.06,104135,"Mississippi","MS",NA,85.7,43529,49
"46",49.83,103641,"Illinois","IL",6,98.5,62992,16
"47",49.54,103035,"Michigan","MI",1,93,54909,33
"48",48.75,101410,"Missouri","MO",NA,89.5,53578,36
"49",47.64,99081,"Florida","FL",1,99.9,52594,39
"50",43.95,91420,"North Carolina","NC",2,91.3,52752,38
